"Empty, it seems",0x00
Multiplayer Drift Select,0x82
Multiplayer Team Select,0x83
part of connecting...?,0x84
WFC first play,0x85
Allow data to be sent?,0x86
Disconnects you,0x87
Seems to draw behind online races (panel 2),0x88
Error connecting to WFC,0x89
Dummy? Seems to redirect to 0x52.,0x8A
WFC Menu,0x8B
WFC VS/Battle Select,0x8C
Friends Menu,0x8D
Friends Menu (Mario Kart Channel),0x8E
Global Search Manager (doesn't render),0x8F
Timer,0x90
Player List (VR Screen),0x91
Course/Stage Votes,0x92
Present in live view?,0x93
Present in online race?,0x94
Present in online menus?,0x95
Friend Roster,0x96
Not Friends Yet,0x97
Remove Friend Code,0x98
Removing Friend Code...,0x99
Seems to prepare the Friends list,0x9A
"Friend Room ""waiting"" text",0x9B
Friend Room Manager (doesn't render),0x9C
Friend Room,0x9D
Friend Room Messages,0x9E
Mario Kart Channel,0xA2
Rankings Menu,0xA3
Channel Ghosts Screen,0xA4
Dummy? Loads 0xA6,0xA5
Enter FC,0xA6
Ghost List Manager (doesn't render),0xA7
Mario Kart Channel ghost histogram screen,0xA8
Mario Kart Channel behind 0xAD,0xAC
Mario Kart Channel with a selected ghost (challenge/watch),0xAD
"Resides behind 0x4F, loads 0xB4",0xB3
Mario Kart Channel Downloaded Ghost List,0xB4
Mario Kart Channel Erase Ghost,0xB5
Competition for Wii Wheels only,0xBA
Options,0xC0
Nintendo Wi-Fi Connection options,0xC1
"Information box with ""Next"", can chain to self",0xC2
Information box with 2 buttons prompt.,0xC3
Information box with 3 prompts. (???),0xC4
Return to system menu to set region?,0xC5
Flag/Region Display,0xC6
Large info box with spinner,0xC7
Large info box with A prompt,0xC8
Info box with OK prompt,0xC9
Add Mario Kart Channel,0xCA
Add Mario Kart Channel prompt,0xCB
Draws beneath Options menu,0xCC
Overall Records,0xCE
Favourites,0xCF
Friend Records,0xD0
WFC Records,0xD1
Other Records,0xD2
